q;i1;i2;s1;s2;s3;v1;v2;rt1;rt2;st1;st2;sl1;sl2;tan1;tan2;y;m
720;32;8;1057;1070;170;11,11111111111111;7,894736842105263;27;38;2;0;170;0;0;0;0,65;173,47145316575381
722;32;8;1057;1070;170;11,11111111111111;7,894736842105263;27;38;2;0;170;0;0;0;0,6525;173,47145316575381
724;32;8;1176;1155;255;11,11111111111111;7,894736842105263;27;38;3;0;255;0;0;0;0,655;257,56813673946226
726;32;8;1152;855;255;10,714285714285714;7,894736842105263;28;38;3;0;255;0;0;0;0,6575;257,4761151171941
728;32;8;1287;940;340;10,714285714285714;7,894736842105263;28;38;4;0;340;0;0;0;0,66;342,06863325339054
730;32;8;1295;640;340;10,344827586206897;7,894736842105263;29;38;4;0;340;0;0;0;0,6625;342,0497082949411
732;32;8;1440;725;425;10,344827586206897;7,894736842105263;29;38;5;0;425;0;0;0;0,665;426,82198039071784
734;32;8;1486;425;425;10;7,894736842105263;30;38;5;0;425;0;0;0;0,6675;426,8541110648508
736;32;8;1633;510;510;10;7,894736842105263;30;38;6;0;510;0;0;0;0,67;511,7005297368413
738;32;8;1701;810;510;9,67741935483871;7,894736842105263;31;38;6;0;510;0;0;0;0,6725;511,7510898444098
740;32;8;1848;895;595;9,67741935483871;7,894736842105263;31;38;7;0;595;0;0;0;0,675;596,6357162934023
742;33;8;832;1260;360;10,344827586206897;7,894736842105263;29;38;4;0;360;0;0;0;0,6775;361,29628138780276
744;33;8;946;1350;450;10,344827586206897;7,894736842105263;29;38;5;0;450;0;0;0;0,68;451,1740273382925
746;33;8;946;1350;450;10,344827586206897;7,894736842105263;29;38;5;0;450;0;0;0;0,6825;451,1740273382925
748;33;8;1052;1140;540;10;7,894736842105263;30;38;6;0;540;0;0;0;0,685;541,0697109735158
750;33;8;1052;1140;540;10;7,894736842105263;30;38;6;0;540;0;0;0;0,6875;541,0697109735158
752;33;8;1200;930;630;9,67741935483871;7,894736842105263;31;38;7;0;630;0;0;0;0,69;631,0318359298057
754;33;8;1200;930;630;9,67741935483871;7,894736842105263;31;38;7;0;630;0;0;0;0,6925;631,0318359298057
756;33;8;1388;720;720;9,375;7,894736842105263;32;38;8;0;720;0;0;0;0,695;721,0341123546212
758;33;8;1633;510;510;10;7,894736842105263;30;38;6;0;510;0;0;0;0,6975;511,7005297368413
760;33;8;1633;510;510;10;7,894736842105263;30;38;6;0;510;0;0;0;0,7;511,7005297368413
762;33;8;1848;895;595;9,67741935483871;7,894736842105263;31;38;7;0;595;0;0;0;0,7025;596,6357162934023
764;34;8;946;1350;450;10,344827586206897;7,894736842105263;29;38;5;0;450;0;0;0;0,705;451,1740273382925
766;34;8;946;1350;450;10,344827586206897;7,894736842105263;29;38;5;0;450;0;0;0;0,7075;451,1740273382925
768;34;8;946;1350;450;10,344827586206897;7,894736842105263;29;38;5;0;450;0;0;0;0,71;451,1740273382925
770;34;8;1052;1140;540;10;7,894736842105263;30;38;6;0;540;0;0;0;0,7125;541,0697109735158
772;34;8;1052;1140;540;10;7,894736842105263;30;38;6;0;540;0;0;0;0,715;541,0697109735158
